week_start,publish_date,day_name,daypart,category,theme,title,format,target_time_pt,objective,engagement_move,approval_status,queue_status,asset_path,caption_source,cta,primary_metric,notes
2026-04-06,2026-04-06,Monday,Morning,Daily Tips,SPF habit,SPF Reapplication,Story,08:30,Create a quick value touch,Save reminder,approved,ready_to_post,exports/ready-post-queue-week-01/01-morning-spf-reapplication.html,exports/ready-post-queue-week-01/captions.md#01 Morning SPF Reapplication,Save this for your routine,saves,Use as the Monday reset tip
2026-04-06,2026-04-06,Monday,Midday,Hydrafacial,Congestion reset,Hydrafacial Congestion,Carousel,12:30,Support treatment consideration,DM question prompt,approved,ready_to_post,exports/ready-post-queue-week-01/02-midday-hydrafacial-congestion.html,exports/ready-post-queue-week-01/captions.md#02 Midday Hydrafacial Congestion,DM hydrafacial for guidance,dms,Good fit for the Monday clarify slot
2026-04-06,2026-04-06,Monday,Evening,Circadia,Night repair,Circadia Night Repair,Reel,19:30,Ship the hero post of the day,Save-this prompt,approved,ready_to_post,exports/ready-post-queue-week-01/03-evening-circadia-night-repair.html,exports/ready-post-queue-week-01/captions.md#03 Evening Circadia Night Repair,Ask about your night routine,saves,Evening hero
2026-04-06,2026-04-07,Tuesday,Morning,Daily Tips,Post-treatment care,Post-Treatment Water,Story,08:30,Deliver a practical skincare tip,Reply prompt,approved,ready_to_post,exports/ready-post-queue-week-01/04-morning-post-treatment-water.html,exports/ready-post-queue-week-01/captions.md#04 Morning Post-Treatment Water,Reply if your skin runs dry,replies,Fits myth and clarify day
2026-04-06,2026-04-07,Tuesday,Midday,Hydrafacial,Event prep,Hydrafacial Event Prep,Carousel,12:30,Support booking intent,Save reminder,approved,ready_to_post,exports/ready-post-queue-week-01/05-midday-hydrafacial-event-prep.html,exports/ready-post-queue-week-01/captions.md#05 Midday Hydrafacial Event Prep,Save this before your event,saves,Good event-prep midday asset
2026-04-06,2026-04-07,Tuesday,Evening,Circadia,Barrier ritual,Circadia Barrier Ritual,Reel,19:30,Deepen trust with a stronger hero asset,DM keyword,approved,ready_to_post,exports/ready-post-queue-week-01/06-evening-circadia-barrier-ritual.html,exports/ready-post-queue-week-01/captions.md#06 Evening Circadia Barrier Ritual,DM ritual for the routine,replies,Evening hero
2026-04-06,2026-04-08,Wednesday,Morning,Daily Tips,Clean routine,Clean Hands Face,Story,08:30,Deliver fast useful value,Story poll,approved,ready_to_post,exports/ready-post-queue-week-01/07-morning-clean-hands-face.html,exports/ready-post-queue-week-01/captions.md#07 Morning Clean Hands Face,Poll your biggest morning habit,story_taps,Light-touch morning slot
2026-04-06,2026-04-08,Wednesday,Midday,Hydrafacial,Maintenance,Hydrafacial Monthly Maintenance,Carousel,12:30,Clarify maintenance logic,DM keyword,approved,ready_to_post,exports/ready-post-queue-week-01/08-midday-hydrafacial-monthly-maintenance.html,exports/ready-post-queue-week-01/captions.md#08 Midday Hydrafacial Monthly Maintenance,DM maintenance for timing help,dms,Works for the consult-and-guide slot
2026-04-06,2026-04-08,Wednesday,Evening,Circadia,Consistency,Consistency Over Chaos,Carousel,19:30,Ship the strongest Circadia trust post,Save-this prompt,approved,ready_to_post,exports/ready-post-queue-week-01/09-evening-circadia-consistency-over-chaos.html,exports/ready-post-queue-week-01/captions.md#09 Evening Circadia Consistency Over Chaos,Save this if your routine feels crowded,saves,Evening hero
2026-04-06,2026-04-09,Thursday,Morning,Daily Tips,Simple routine,Morning Clean Start,Static,08:30,Keep the lane consistent,Reply prompt,approved,mission_control_ready,mission-control/post.html?id=post-10,mission-control/data/approval-posts.json#post-10,Need help simplifying,replies,Pull from Mission Control viewer
